id,notes,original_zip,match,match_kind,state_code,county_code,tract_code,block_code,Rental Relief Fund: How much rent do you owe due to COVID-19,Rental Relief Fund: How much do you owe on utilities listed?,Rental Relief Fund: Total Monthly Income all sources,Rental Relief Gap,Months of Assistance Awarded,Date of Final Decision,Utility Payments - Amount obtained (),Future Stipend - Amount obtained (),Rental Arrears - Amount obtained (),Moving Costs - Amount obtained (),Total RRF Award
163959,,2128,Match,Non_Exact,25,25,100200,3000,7826,0,455,7826,March-21; April-21; May-21; June-21; July-21; August-21,5/10/2021,0,0,10784,,10784
163960,,2111,Match,Non_Exact,25,25,980900,1000,8600,1123.62,3044,9723.62,February-21; March-21; April-21; May-21; June-21,5/21/2021,669.35,0,13886,,14555.35
163961,,2111,Match,Exact,25,25,70202,1022,0,0,1200,0,May-21; June-21; July-21; August-21; September-21; October-21; November-21; December-21,9/1/2021,,,2661,,2661
163962,,2124,Match,Non_Exact,25,25,81800,3000,5712,0,1400,5712,March-20; April-20; May-20; June-20; July-20; August-20; September-20; October-20; November-20; December-20; January-21,,,,6068,,6068
163963,,2130,Match,Non_Exact,25,25,50200,4001,9000,0,3500,9000,January-21; February-21; March-21; April-21; May-21; June-21; July-21,7/10/2021,0,0,15000,,15000
163964,,2119,Match,Non_Exact,25,25,92400,5000,13373,2200,0,15573,June-21; July-21; August-21; September-21,7/6/2021,0,,8774,,14800
163965,,2119,Match,Non_Exact,25,25,50200,4002,5500,500,2000,6000,December-20; January-21; February-21; March-21; April-21; May-21; June-21; July-21; August-21; September-21,6/17/2021,0,0,9399,,9399
163966,,2128,Match,Non_Exact,25,25,100601,4000,4000,16000,2100,20000,March-21; April-21; May-21; June-21; July-21; August-21; September-21; October-21; November-21; December-21,5/14/2021,,15000,,,15000
163968,,2136,Match,Non_Exact,25,25,100400,3002,13320,0,0,13320,April-20; May-20; June-20; July-20; August-20; September-20; October-20; November-20; December-20; January-21; February-21; March-21; April-21,5/10/2021,0,0,13200,,13200
163969,,2130,Match,Non_Exact,25,25,91500,1004,6963,0,268,6963,May-20; June-20; July-20; August-20; September-20; October-20; November-20; December-20; January-21; February-21; March-21; April-21; May-21,,0,0,2532,,2532
163971,,2136,Match,Non_Exact,25,25,120201,2000,1950,2900,2304,4850,December-20; January-21,5/21/2021,1500,,4721,,6221
163972,,2132,Match,Non_Exact,25,25,20305,1006,16900,0,3292,16900,October-20; November-20; December-20; January-21; February-21; March-21; April-21; May-21,,0,0,15000,,15000
163973,,2128,Match,Non_Exact,25,25,140300,6004,6995,2212,3400,9207,January-21; February-21; March-21; April-21; May-21,6/25/2021,0,0,14294,,14294
163974,,2124,Match,Non_Exact,25,25,50700,1004,7500,967,3000,8467,March-21; April-21; May-21; June-21; July-21; August-21,5/13/2021,871.84,14132,,,15003.84
163977,,2119,Match,Non_Exact,25,25,92400,1003,25200,0,0,25200,November-20; December-20; January-21; February-21; March-21; April-21; May-21; June-21; July-21,7/27/2021,,15000,,,15000
163978,,2124,Match,Non_Exact,25,25,120600,1001,7096,0,1600,7096,July-21; August-21; September-21,6/29/2021,0,0,3075,,3075
163979,multiple possible matches across multiple zipcodes ,2120,Tie,,,,,,1616,0,5140,1616,March-21; April-21; May-21,5/14/2021,453.82,0,2920,,3373.82
163980,,2124,Match,Exact,25,25,92400,5003,4000,0,2000,4000,October-20; November-20; December-20; January-21; February-21; March-21; April-21; May-21,6/8/2021,0,0,5551,,5551
163981,,2122,Match,Non_Exact,25,25,80401,1000,7000,0,0,7000,December-20; January-21; February-21; March-21; April-21; May-21,5/14/2021,0,0,8865.13,,8865.13
163982,,2124,Match,Exact,25,25,100601,4008,2500,1275,1068,3775,February-21; March-21; April-21; May-21; June-21; July-21; August-21,5/25/2021,1075.35,0,1554,,2629.35
163984,,2124,Match,Exact,25,25,92400,5003,5100,0,1300,5100,January-21; February-21; March-21; April-21; May-21; June-21; July-21; August-21,7/1/2021,,,6395,,6395
163987,,2125,Match,Non_Exact,25,25,10701,3004,3000,0,1500,3000,June-20; July-20; August-20; September-20; October-20; November-20; December-20,7/27/2021,,3304,,,3304
163988,,2121,Match,Non_Exact,25,25,91400,1001,1800,1000,1000,2800,December-20; January-21; February-21; March-21; April-21; May-21; June-21,6/17/2021,1500,0,1800,,3300
163989,,2121,Match,Non_Exact,25,25,505,1002,2516,732.02,2108,3248.02,April-20; May-20,5/21/2021,338.02,0,2516,,2854.02
163990,,2128,Match,Non_Exact,25,25,81900,4003,5002,0,970,5002,May-20; June-20; July-20; August-20; September-20; October-20; November-20; December-20; January-21; February-21; March-21; April-21,5/21/2021,0,0,2532,,2532
163991,,2119,Match,Non_Exact,25,25,90200,1001,8500,0,0,8500,June-20; July-20; August-20; September-20; October-20; November-20; December-20; January-21; February-21; March-21; April-21; May-21; June-21,6/22/2021,0,0,10150,,10150
163992,,2119,Match,Non_Exact,25,25,50700,2005,3300,0,400,3300,March-21; April-21; May-21; June-21,6/2/2021,0,0,4400,,7700
163993,,2121,Match,Non_Exact,25,25,80100,1051,4375,0,3860,4375,December-20; January-21; February-21; March-21; April-21; May-21,5/21/2021,0,0,3550,,3550
163994,,2119,Match,Non_Exact,25,25,90200,1001,10400,0,0,10400,January-21; February-21; March-21; April-21; May-21; June-21,6/12/2021,0,0,15000,,15000
163995,,2130,Match,Non_Exact,25,25,81302,2004,1800,1182.6,3000,2982.6,May-21; June-21; July-21,6/2/2021,1328.74,0,4562,,5890.74
163996,,2132,Match,Non_Exact,25,25,140300,6006,4750,1040,3016,5790,March-21; April-21; May-21; June-21; July-21; August-21,5/21/2021,1500,0,5424,,6924
163998,,2118,Match,Non_Exact,25,25,110601,2009,7600,0,3566,7600,February-21; March-21; April-21; May-21,,,0,10179,,10179
164001,,2128,Match,Exact,25,25,50700,1000,0,0,924,0,May-21; June-21; July-21; August-21; September-21; October-21; November-21; December-21,5/21/2021,0,0,8336,,8336
164002,,2131,Match,Non_Exact,25,25,91800,3004,4800,257,202,5057,February-21; March-21; April-21; May-21; June-21; July-21,5/21/2021,0,0,6919,,6919
164003,,2125,Match,Non_Exact,25,25,50200,2004,1098,0,2700,1098,May-21; June-21; July-21; August-21; September-21,6/18/2021,1500,,5470,,6970
164004,,2124,Match,Non_Exact,25,25,110502,2011,10000,0,400,10000,March-20; April-20; May-20; June-20; July-20; August-20; September-20; October-20; November-20; December-20; January-21; February-21,,,0,12200,,12200
164005,,2124,Match,Non_Exact,25,25,91001,2001,0,0,0,0,May-21; June-21; July-21; August-21,7/13/2021,,1000,3000,,4000
164007,,2132,Match,Non_Exact,25,25,50101,1003,0,0,700,0,June-20; July-20; August-20; September-20; October-20,,,,11167,,11167
164008,,2124,Match,Non_Exact,25,25,120301,3007,7261,0,2500,7261,November-20; December-20; January-21; February-21; March-21; April-21; May-21,5/21/2021,0,0,7198,,7198
164009,,2131,Match,Non_Exact,25,25,100500,4006,27000,3100,2244,30100,October-20; November-20; December-20; January-21; February-21; March-21; April-21; May-21,5/21/2021,0,0,15000,,15000
164010,,2135,Match,Non_Exact,25,25,81700,2002,10625,0,1982,10625,November-20; December-20; January-21; February-21; March-21; April-21; May-21; June-21; July-21; August-21,5/26/2021,0,0,14076,,14076
164011,,2125,Match,Non_Exact,25,25,60603,1005,1318,620.79,1067,1938.79,May-21; June-21; July-21; August-21,8/10/2021,919.19,,8356,,15000
164012,,2124,Match,Non_Exact,25,25,110301,2015,3300,1318,500,4618,May-21; June-21; July-21; August-21,5/28/2021,0,0,6011,,6011
164014,,2130,Match,Non_Exact,25,25,100500,5005,0,0,1334,0,June-20; July-20; August-20; September-20,,,,5994,,5994
164015,,2136,Match,Non_Exact,25,25,502,2003,0,0,2765,0,May-21; June-21,5/21/2021,528.96,,5140,,8238.96
164016,,2121,Match,Non_Exact,25,25,91400,1001,7580,0,1012,7580,November-20; December-20; January-21; February-21; March-21; April-21; May-21,5/21/2021,0,0,7580,,7580
164017,,2132,No_Match,,,,130402,4021,425,71.7,0,496.7,May-21; June-21; July-21; August-21; September-21; October-21; November-21; December-21,,0,0,3025,,3025
164018,,2124,Match,Non_Exact,25,25,61204,1018,0,0,2826,0,21-Jun,6/2/2021,0,0,5049,,11781
164020,,2121,Match,Non_Exact,25,25,92200,1002,9000,9190.47,0,18190.47,December-20; January-21; February-21; March-21; April-21; May-21; June-21; July-21,6/10/2021,1500,0,13200,,14700
164021,multiple possible matches across multiple zipcodes ,2126,Tie,,,,,,0,0,0,0,April-21; May-21; June-21; July-21; August-21; September-21; October-21; November-21; December-21,8/4/2021,,0,,5980,5980
164023,,2125,Match,Non_Exact,25,25,101002,1003,25200,0,1068,25200,April-20; May-20; June-20; July-20; August-20; September-20; October-20; November-20; December-20; January-21; February-21; March-21; April-21; May-21,6/4/2021,0,0,15000,,15000
164024,,2118,Match,Non_Exact,25,25,91200,2000,2633,0,7536,2633,October-20; February-21; March-21; April-21; May-21,5/21/2021,0,0,6103,,6103
164025,,2125,No_Match,,,,90700,4005,2204,0,763,2204,May-21; June-21; July-21; August-21; September-21,6/12/2021,0,0,9380,,9380
164026,,2119,Match,Non_Exact,25,25,100400,4003,7848,4106,517,11954,March-21; April-21; May-21; June-21; July-21; August-21; September-21; October-21,7/13/2021,1500,0,12254,,13754
164027,,2125,Match,Non_Exact,25,25,50200,2004,1300,1159.71,42100,2459.71,21-Jun,6/8/2021,1179.74,0,1300,,2479.74
164028,,2119,No_Match,,,,80601,3009,15400,0,2812,15400,May-20; June-20; August-20; September-20; October-20; November-20; December-20; January-21; February-21; March-21; April-21,,0,0,15000,,15000
164029,,2135,Match,Non_Exact,25,25,40200,2011,4000,0,2600,4000,September-20; October-20; November-20; December-20; January-21; February-21; March-21; April-21; May-21; June-21; July-21,5/28/2021,0,0,15000,,15000
164030,,2132,Tie,,,,130300,2017,3000,2050,2000,5050,January-21; February-21; March-21; April-21; May-21; June-21; July-21; August-21,5/21/2021,1500,0,6920,,8420
164031,,2134,Match,Non_Exact,25,25,90901,2004,30000,1188,0,31188,,6/7/2021,1251.57,,0,,1251.57
164033,,2124,Match,Non_Exact,25,25,704,2002,789,3230.21,2800,4019.21,21-May,5/28/2021,,,2103,,2103
164037,,2126,Match,Non_Exact,25,25,140106,1001,65,0,0,65,May-21; June-21; July-21; August-21,6/2/2021,0,0,4113,,4113
164038,,2121,Match,Non_Exact,25,25,101102,3002,7800,8969.68,1880,16769.68,21-Jun,5/25/2021,0,,7800,,7800
164040,,2119,Match,Non_Exact,25,25,91900,3012,4200,1227.64,3800,5427.64,June-21; July-21; August-21; September-21; October-21; November-21; December-21,5/28/2021,,0,8244,,8244
164041,,2121,Match,Non_Exact,25,25,50101,3006,6000,329.2,2268,6329.2,June-20; July-20; August-20; September-20; October-20; November-20; December-20; January-21; February-21; March-21; April-21; May-21,6/2/2021,329.2,0,14340,,14669.2
164042,,2128,Match,Non_Exact,25,25,90600,1005,15000,3127,3600,18127,September-20; October-20; November-20; December-20; January-21; February-21; March-21; April-21; May-21,5/21/2021,1070.08,0,12359.32,,13429.4
164043,,2122,Match,Non_Exact,25,25,50500,1003,4500,586,2200,5086,December-20; January-21; February-21; June-21; July-21; August-21,6/7/2021,586.32,0,4857,,5443.32
164044,,2121,No_Match,,,,82000,1005,2241,1000,0,3241,April-21; June-21; July-21; August-21; September-21; October-21,7/27/2021,,5803,,,5803
164049,,2121,Match,Non_Exact,25,25,92000,4007,15750,0,875,15750,October-20; November-20; December-20; January-21; February-21; March-21; April-21; May-21; June-21,6/17/2021,0,0,15000,,15000
164050,,2125,Match,Non_Exact,25,25,92400,3005,1000,0,1800,1000,January-21; February-21; March-21; April-21; May-21; June-21; July-21,7/13/2021,0,0,4550,,4550
164051,,2118,Match,Non_Exact,25,25,130402,2012,5250,2463.05,2418,7713.05,June-21; July-21; August-21; September-21,6/9/2021,1500,0,5757,,16132
164052,,2130,Match,Non_Exact,25,25,140105,2002,3600,1582,1300,5182,December-20; May-21; June-21; July-21; August-21; August-21; September-21; September-21; October-21; November-21,6/17/2021,1046.69,0,10519,,11565.69
164054,,2125,No_Match,,,,90700,4005,2750,269.9,3427,3019.9,March-21; April-21; May-21; June-21; July-21; August-21; September-21; October-21; November-21; December-21,,61,,5116,,5177
164055,,2124,Match,Non_Exact,25,25,81200,1006,2325,2925,0,5250,May-21; June-21,,1459.73,0,4471,,5930.73
164056,,2124,Match,Non_Exact,25,25,10206,1003,805,65,0,870,21-Feb,6/12/2021,73.03,0,804.91,,877.94
164057,,2120,Match,Non_Exact,25,25,82100,3000,14400,1115.49,0,15515.49,September-20; October-20; November-20; December-20; January-21; February-21; March-21; April-21; May-21,5/28/2021,1148.51,0,13851.49,,15000
164058,,2128,Match,Non_Exact,25,25,100900,2000,10000,3700,3252,13700,June-20; August-20; March-21; April-21; May-21,6/25/2021,0,0,15000,,15000
164059,,2122,Match,Non_Exact,25,25,80900,1003,36000,0,2268,36000,August-20; September-20; October-20; November-20; December-20; January-21; February-21; March-21; April-21; May-21,5/28/2021,0,0,15000,,15000
164060,,2121,Match,Non_Exact,25,25,50901,1002,2000,0,4000,2000,June-20; June-21; July-21; August-21; September-21,6/17/2021,0,0,10650,,10650
164061,,2210,Match,Non_Exact,25,25,92000,1008,860,1600,934,2460,May-21; June-21; July-21; August-21; September-21,6/12/2021,1500,0,5221,,12351.91
164062,,2131,Match,Non_Exact,25,25,82000,1001,2700,31497.08,1236,34197.08,June-21; July-21; August-21; September-21,6/12/2021,1500,0,2577,,4077
164063,,2136,Match,Non_Exact,25,25,61204,1018,1666,0,2402,1666,June-21; July-21; August-21; September-21; October-21; November-21; December-21,5/28/2021,,,13328,,13328
164064,,2119,Match,Non_Exact,25,25,110607,3001,0,0,3085,0,June-21; July-21; August-21; September-21; October-21; November-21; December-21,,,,2800,,2800
164065,,2125,Match,Non_Exact,25,25,20301,1005,1100,0,8200,1100,August-21; September-21; October-21,7/13/2021,0,0,5145,,5145
164066,,2126,Match,Non_Exact,25,25,140300,6004,7000,7355.7,1660,14355.7,August-20; September-20; October-20; November-20; December-20; January-21; February-21; March-21; April-21; May-21; June-21,6/4/2021,1500,0,8529,,10029
164067,,2128,Match,Non_Exact,25,25,71101,4000,4000,77.61,784,4077.61,January-21; February-21; March-21; April-21; June-21; July-21,7/10/2021,0,4195,4194.74,,8389.74
164068,,2119,No_Match,,,,81700,5003,7750,41150,1176,48900,February-21; March-21; April-21; May-21; June-21; July-21; August-21; September-21,6/18/2021,1500,0,11120,,12620
164069,,2135,Match,Non_Exact,25,25,101002,3000,1251,0,736,1251,July-21; August-21; September-21; October-21,7/27/2021,,3305,,,3305
164070,,2215,Match,Non_Exact,25,25,61201,1014,3600,890,3600,4490,February-21; March-21; April-21,,744.35,,5286,,6030.35
164071,,2136,Match,Non_Exact,25,25,202,3010,0,0,240,0,August-21; September-21; October-21; November-21,9/2/2021,288.49,6750,2250,,9288.49
164072,,2124,Match,Non_Exact,25,25,130406,1001,4063,1594,976,5657,July-20; August-20; September-20; October-20; November-20; December-20; January-21; February-21; March-21; April-21; May-21; June-21,6/17/2021,1500,0,2700,,4200
164073,,2121,Match,Non_Exact,25,25,92400,2004,5116,0,1588,5116,October-20; November-20; December-20; January-21,6/9/2021,61.19,,5116,,5177.19
164074,,2125,Match,Non_Exact,25,25,90400,2014,11000,0,1900,11000,June-20; July-20; August-20; September-20; October-20; November-20; December-20; January-21; February-21; March-21; April-21; May-21,6/5/2021,0,0,14988,,14988
164075,,2121,Match,Non_Exact,25,25,140201,1007,750,0,1073,750,May-21; June-21; July-21; August-21; September-21,6/2/2021,0,,3784,,7584
164076,,2122,Match,Non_Exact,25,25,90400,3002,11942,0,0,11942,January-21; February-21; March-21; April-21; May-21; June-21; July-21,6/17/2021,0,0,15000,,15000
164077,,2132,Match,Non_Exact,25,25,100603,2022,6450,600,0,7050,October-20; November-20; December-20; January-21; March-21; April-21; May-21; June-21; July-21; August-21; September-21; November-21; December-21,5/28/2021,0,0,12650,,12650
164078,,2124,Match,Non_Exact,25,25,601,2002,1968,1273.52,0,3241.52,March-21; April-21; May-21; June-21; July-21; August-21,6/12/2021,1154.84,0,3061,,4215.84
164079,,2132,No_Match,,,,130402,4021,1500,60,2240,1560,June-21; July-21; August-21; September-21,6/12/2021,58.75,0,4967,,10808.84
164080,,2124,Match,Exact,25,25,100100,1000,2780,950,1834,3730,May-21; June-21; July-21; August-21; September-21,6/15/2021,830.54,0,4879,,5709.54
164081,,2121,Match,Non_Exact,25,25,90600,2010,0,0,600,0,July-20; June-21; July-21,7/28/2021,,3988,,3988,7976
164083,,2119,Match,Non_Exact,25,25,82100,3000,5240,932.72,4483,6172.72,February-21; March-21; April-21; May-21; June-21; July-21; August-21,,933.72,0,9447,,10380.72
164085,,2136,Match,Non_Exact,25,25,81700,4003,10000,8000,2414,18000,October-20; November-20; December-20; January-21; February-21; March-21; April-21; May-21; June-21,6/17/2021,1042,0,13958,,15000
164086,,2114,Match,Non_Exact,25,25,110105,1015,3189,930,0,4119,March-20; April-20; May-20,,929.9,,3816,,4745.9
164087,,2119,Match,Non_Exact,25,25,140400,6001,0,0,3024,0,21-May,5/28/2021,0,0,3021,,11188.96
164088,,2114,Tie,,,,20305,1004,3027,0,3420,3027,May-21; June-21; July-21; August-21; September-21,6/9/2021,0,0,10427,,10427
164090,,2122,Match,Non_Exact,25,25,110105,1015,2740,826.81,2500,3566.81,May-21; June-21; July-21; August-21,,826.81,,5337,,6163.81
164091,,2127,Match,Non_Exact,25,25,50600,2000,6816,1992.77,3136,8808.77,November-20; December-20; January-21; February-21; March-21; April-21; May-21; June-21; July-21; August-21,8/8/2021,1500,0,7448,,8948
164092,,2121,Match,Non_Exact,25,25,100603,2010,12000,160,1200,12160,November-20; December-20; January-21; February-21; March-21; April-21; May-21; June-21; July-21; August-21; September-21; October-21; November-21; December-21,,236.3,0,14941,,15177.3
164094,,2131,Match,Non_Exact,25,25,100400,1001,9400,0,4042,9400,January-21; February-21; March-21; April-21; May-21; June-21; July-21; August-21; September-21,6/3/2021,0,0,12150,,12150
164095,,2125,Match,Non_Exact,25,25,110607,3006,0,0,1710,0,May-21; June-21; July-21; August-21; September-21,6/9/2021,0,0,7347.33,,7347.33
164096,,2126,Match,Non_Exact,25,25,100500,1005,1800,3000,1948,4800,May-21; June-21; July-21; August-21; September-21,6/17/2021,1500,0,5954,,7454
164097,,2119,Match,Non_Exact,25,25,90400,4004,2200,2330,1664,4530,April-21; May-21; June-21; July-21; August-21; September-21,6/17/2021,703.7,0,11592,,12295.7
164099,,2210,Match,Non_Exact,25,25,81800,1001,653,0,750,653,April-21; May-21; June-21; July-21; August-21; September-21,,,,3084,,3084
164100,,2135,Match,Non_Exact,25,25,81900,1013,12000,690.02,0,12690.02,April-20; May-20; June-20; July-20; August-20; September-20; October-20; November-20; December-20; January-21; February-21; March-21; April-21,6/21/2021,689.02,0,12000,,12689.02
164101,,2124,Match,Non_Exact,25,25,92101,5000,0,275,942,275,May-21; June-21,5/28/2021,,,4660,,4660
164102,,2119,Match,Non_Exact,25,25,101101,3009,8329,0,0,8329,June-20; July-20; August-20; September-20; October-20; November-20; December-20; January-21; February-21; March-21; April-21; May-21,6/17/2021,0,0,8329,,8329
164103,,2210,Tie,,,,61204,1018,0,0,2550,0,March-21; April-21; May-21; June-21; July-21; August-21; September-21,6/8/2021,0,,5597,,5597
164104,,2135,Match,Non_Exact,25,25,80601,3009,3000,200,2300,3200,March-21; April-21; May-21; June-21; July-21,7/29/2021,,0,10000,,10000
164110,,2119,Match,Non_Exact,25,25,100400,3002,9180,0,400,9180,October-20; November-20; December-20; January-21; February-21; March-21; April-21; May-21; June-21; July-21; August-21; September-21,6/4/2021,0,0,12000,,12000
164112,,2124,Match,Non_Exact,25,25,120400,4008,1600,0,2268,1600,May-21; June-21; July-21; August-21; September-21,6/17/2021,0,,,8559,8559
164114,,2125,Match,Non_Exact,25,25,51000,2009,6070,0,3120,6070,June-20; July-20; August-20; September-20; October-20; December-20; January-21; February-21; March-21; April-21; May-21; June-21,,0,0,4870,,4870
164116,,2215,No_Match,,,,10204,3002,1318,0,2976,1318,June-21; July-21; August-21,7/1/2021,,1318,5542,,6860
164120,,2119,Match,Non_Exact,25,25,91600,1004,3375,433.85,5000,3808.85,March-21; April-21; May-21; June-21,6/17/2021,433.85,0,4500,,4933.85
164123,,2136,Match,Non_Exact,25,25,20305,1006,10114,0,0,10114,July-20; August-20; April-21; May-21; June-21,7/24/2021,,15000,,,15000
164124,,2136,Match,Non_Exact,25,25,60604,2010,1492,0,3000,1492,July-21; August-21; September-21,6/17/2021,0,0,3891,,3891
164125,,2124,Match,Non_Exact,25,25,140400,1000,0,0,3504,0,April-21; May-21; June-21,6/26/2021,0,0,6600,,6600
164126,,2122,Match,Non_Exact,25,25,92000,4006,2100,0,2132,2100,April-21; May-21; June-21,6/21/2021,0,0,3393,,3393
164130,,2119,Match,Non_Exact,25,25,10701,3004,0,1050,3000,1050,June-21; July-21; August-21; September-21; October-21; November-21; December-21,7/1/2021,1264.3,,4945,,6209.3
164133,,2114,Match,Non_Exact,25,25,100601,2002,11250,0,1654,11250,August-20; September-20; October-20; November-20; December-20; January-21; February-21; March-21; April-21; May-21; June-21; July-21; August-21,9/13/2021,,1679,11250,,12929
164135,,2124,Match,Non_Exact,25,25,20304,2000,6800,0,1700,6800,April-21; May-21; June-21; July-21; August-21,6/18/2021,0,0,15000,,15000
164136,,2132,Match,Non_Exact,25,25,92000,3002,4000,0,1149,4000,April-21; May-21; June-21,6/24/2021,0,,6000,,15000
164138,,2135,Match,Non_Exact,25,25,70402,1010,13630,0,8500,13630,January-21; February-21; March-21; April-21; May-21; June-21,,,,15000,,15000
164140,,2124,Match,Non_Exact,25,25,60700,1007,2000,0,1504,2000,July-21; August-21; September-21; October-21; November-21; December-21,7/16/2021,,,,7000,15000
164142,,2121,Match,Non_Exact,25,25,140400,3009,4000,1268.62,4000,5268.62,April-21; May-21; June-21; July-21; August-21,7/22/2021,410.33,876,4060,,7064.33
164143,,2124,Match,Non_Exact,25,25,82100,3002,4209,0,1982,4209,July-20; May-21; June-21,7/24/2021,,0,6000,,15000
164144,,2114,Match,Non_Exact,25,25,92101,5003,13800,1080,0,14880,February-21; March-21; April-21; May-21; June-21,5/9/2021,,,4000,,4000
164146,,2120,Match,Non_Exact,25,25,20304,2000,3428,0,2530,3428,May-21; June-21,,,,4352,,4352
164147,,2124,Match,Non_Exact,25,25,51101,3015,0,829.33,2400,829.33,October-21; November-21; December-21,8/8/2021,610.06,5150,0,7800,13560.06
164149,,2122,Match,Non_Exact,25,25,100800,6002,15000,2140,250,17140,July-21; August-21; September-21; October-21,7/27/2021,1500,7650,2650,,11800
164150,,2118,Match,Non_Exact,25,25,92300,3007,6600,0,0,6600,May-21; June-21; July-21; August-21; September-21; October-21,7/29/2021,,0,6600,,6600
164151,,2130,Match,Non_Exact,25,25,92101,5001,2669,0,592,2669,July-21; September-21; October-21; November-21; December-21,9/14/2021,,4764,3500,,8264
164152,,2111,Match,Non_Exact,25,25,71101,4000,1089,180,1816,1269,September-20; October-20; November-20; December-20; January-21; February-21,7/7/2021,255.78,0,1163.73,,1419.51
164153,,2128,Match,Non_Exact,25,25,120201,2000,11522,0,1442,11522,April-20; May-20; June-20; July-20; August-20; September-20; October-20; November-20; December-20; January-21; February-21; March-21; April-21; May-21; June-21; July-21,7/13/2021,0,0,10656,,10656
164154,,2122,Tie,,,,92101,3011,0,0,96,0,August-21; September-21; October-21,7/27/2021,,4050,,,4050
164158,,2121,Match,Non_Exact,25,25,70502,2002,5000,0,1520,5000,August-21; September-21; October-21,7/22/2021,,1801,,3282,5083
164159,,2130,Match,Non_Exact,25,25,91100,5003,7000,0,8500,7000,May-21; June-21; July-21,7/5/2021,0,0,7700,,7700
164160,,2132,Match,Non_Exact,25,25,92400,3007,4700,0,2312,4700,April-21; May-21; June-21; July-21; August-21; September-21,6/24/2021,0,0,9712,,9712
164161,,2121,Tie,,,,90100,3001,5400,0,3520,5400,April-20; May-20; June-20; March-21; April-21; May-21; June-21; July-21,,,,9000,,9000
164162,,2119,Match,Non_Exact,25,25,50101,3006,4000,0,0,4000,21-Jun,6/26/2021,0,0,4000,,15000
164163,,2125,Match,Non_Exact,25,25,91700,1003,0,0,1700,0,June-21; July-21; August-21; September-21; October-21; November-21; December-21,,,,,6945,6945
164164,,2135,Match,Non_Exact,25,25,91100,1001,7350,178.72,794,7528.72,January-21; February-21; March-21; April-21; May-21; June-21; July-21; August-21; September-21; October-21; November-21; December-21,,,0,11535,,11535
164165,,2124,Match,Non_Exact,25,25,302,2004,4320,716,2172,5036,April-21; May-21; June-21; July-21,,1185.01,,7476,,8661.01
164166,,2122,Match,Non_Exact,25,25,70202,2003,0,0,2696,0,August-21; September-21; October-21,7/27/2021,,2243,,,2243
164167,,2124,No_Match,,,,92000,3007,740,0,0,740,May-21; June-21; July-21; August-21; September-21; October-21; November-21,8/8/2021,,2100,2800,,4900
164168,,2111,Match,Non_Exact,25,25,10404,3000,1943,275,4500,2218,October-20; June-21,9/6/2021,162.11,2446,3169,,5777.11
164169,,2136,Match,Non_Exact,25,25,101101,3009,4034,0,436,4034,January-21; February-21; March-21; April-21; May-21; June-21; July-21; August-21; September-21,9/6/2021,,,6119,,6119
164170,,2215,No_Match,,,,10204,3002,9000,1000,2800,10000,July-21; August-21; September-21; October-21; November-21; December-21,6/6/2021,,,4125,,4125
164171,,2122,Tie,,,,92101,3011,0,0,2364,0,August-21; September-21; October-21,7/27/2021,,1169,,,1169
164172,,2126,Match,Non_Exact,25,25,130406,1004,3379,0,1348,3379,July-20; August-20; September-20; October-20; November-20; December-20; January-21; February-21; March-21; April-21; May-21; June-21; July-21,7/24/2021,,,5351,,5351
164173,,2128,Match,Non_Exact,25,25,101001,6005,466,1034.53,2000,1500.53,July-21; August-21; September-21; October-21; November-21; December-21,,942.87,,,,942.87
164175,,2125,Match,Non_Exact,25,25,50700,2004,2700,1974.83,2268,4674.83,May-21; June-21; August-21; September-21; October-21; November-21,6/30/2021,1500,0,15000,,16500
164176,,2126,Match,Non_Exact,25,25,140102,2019,15000,700,800,15700,December-20; January-21; February-21; March-21; April-21; May-21; June-21; July-21,7/27/2021,,14480,,,14480
164177,,2128,Match,Non_Exact,25,25,91800,2001,2200,0,700,2200,March-21; April-21; May-21,8/3/2021,0,7256,,0,7256
164178,,2126,Match,Non_Exact,25,25,50700,3004,4800,0,1600,4800,March-21; April-21; May-21; June-21; July-21,7/13/2021,,6000,,,6000
164179,,2124,Match,Non_Exact,25,25,50700,2005,2400,0,800,2400,April-21; May-21; June-21; July-21; August-21; September-21; October-21,7/10/2021,0,0,5600,,5600
164180,,2122,Tie,,,,92101,3011,0,0,2300,0,August-21; September-21; October-21,7/27/2021,,3242,,,3242
164181,,2111,Match,Non_Exact,25,25,101101,1003,3900,0,2300,3900,December-20; January-21; February-21; March-21; April-21; May-21,7/17/2021,,,5200,,5200
164182,,2111,Match,Non_Exact,25,25,120400,5009,5036,0,4100,5036,January-21; February-21; March-21; April-21; May-21,,,,6370,,6370
164183,,2124,Match,Non_Exact,25,25,90600,2008,2800,5576.75,1860,8376.75,May-21; June-21; July-21,7/10/2021,1500,,3425,,4925
164184,,2122,Tie,,,,92101,3011,0,0,1520,0,August-21; September-21; October-21,7/27/2021,,2312,,,2312
164185,,2124,Match,Exact,25,25,92300,3002,3000,0,4619,3000,May-21; June-21; July-21,8/11/2021,1141.53,4069,,,5210.53
164186,,2121,Match,Non_Exact,25,25,120201,3000,1841,4400,3208,6241,May-21; June-21; July-21; August-21,,1500,,1982,,3482
164188,,2126,Match,Non_Exact,25,25,90200,3002,1630,0,0,1630,May-21; June-21; July-21; August-21; September-21,,,,4000,3767,7767
