,id,original_zip,match,match_kind,state_code,county_code,tract_code,block_code,Rental Relief Fund: How much rent do you owe due to COVID-19,Rental Relief Fund: How much do you owe on utilities listed?,Rental Relief Fund: Total Monthly Income all sources,Rental Relief Gap,Months of Assistance Awarded,Date of Final Decision,Utility Payments - Amount obtained (),Future Stipend - Amount obtained (),Rental Arrears - Amount obtained (),Moving Costs - Amount obtained (),Total RRF Award
81,162442,2121,Match,Non_Exact,25.0,25.0,91900.0,4003.0,3747.0,75.0,794,3822,September-21; October-21; November-21,8/17/2021,0.0,1650.0,3747.0,0.0,5397.0
82,162447,2124,Match,Non_Exact,25.0,25.0,81200.0,2000.0,0.0,1276.0,0,1276,July-21; August-21; September-21; October-21; November-21; December-21,9/24/2021,1259.82,4194.31,4136.31,0.0,9590.44
83,162457,2116,Match,Non_Exact,25.0,25.0,81700.0,2002.0,0.0,6200.0,3000,6200,June-21; July-21; August-21; September-21; October-21; November-21,8/23/2021,1886.61,0.0,5400.0,0.0,7286.61
84,162481,2119,Match,Exact,25.0,25.0,81700.0,3008.0,6600.0,0.0,1700,6600,August-21; September-21,9/1/2021,0.0,3113.0,0.0,545.0,12774.0
85,162483,2121,Match,Non_Exact,25.0,25.0,80601.0,1001.0,0.0,0.0,1566,0,October-21; November-21; December-21,0,0.0,6000.0,0.0,6000.0,12000.0
86,162538,2128,Match,Non_Exact,25.0,25.0,60603.0,1005.0,3147.0,0.0,0,3147,April-20; May-20; June-20; August-20; September-20; October-20; November-20; December-20; January-21; February-21,0,0.0,0.0,13600.0,0.0,13600.0
87,162539,2128,Match,Non_Exact,25.0,25.0,91300.0,2006.0,0.0,0.0,700,0,May-21; June-21; July-21; August-21; September-21; October-21; November-21; December-21,9/30/2021,0.0,1044.0,2087.0,0.0,3131.0
88,162559,2119,Match,Non_Exact,25.0,25.0,120700.0,2002.0,1800.0,0.0,0,1800,April-21; May-21,8/12/2021,0.0,15000.0,13960.8,0.0,28960.8
89,162561,2136,Match,Non_Exact,25.0,25.0,91300.0,1008.0,979.0,0.0,3226,979,April-21; May-21; June-21; July-21,9/1/2021,0.0,0.0,6228.0,0.0,6228.0
90,162585,2124,Match,Non_Exact,25.0,25.0,50200.0,2004.0,15000.0,675.0,2984,15675,March-21; April-21; May-21; June-21; July-21; August-21; September-21,0,0.0,0.0,15000.0,0.0,15000.0
91,162586,2131,Match,Non_Exact,25.0,25.0,81001.0,2003.0,2665.9,605.53,880,5803.43,February-21; March-21; April-21; May-21; June-21; July-21; August-21; September-21; October-21; November-21,8/24/2021,691.69,1266.0,2665.9,0.0,4623.59
92,162588,2121,No_Match,0,0.0,0.0,90200.0,3001.0,10812.54,0.0,2300,10812.54,March-20; April-20; May-20; June-20; July-20; August-20; September-20; October-20; November-20; December-20; January-21; February-21; March-21; April-21,8/10/2021,0.0,2049.0,10812.0,0.0,12861.0
93,162589,2121,Match,Non_Exact,25.0,25.0,51000.0,1024.0,2600.0,0.0,1920,2600,March-21; April-21; May-21; June-21; July-21,9/2/2021,0.0,0.0,13000.0,0.0,13000.0
94,162590,2128,Match,Non_Exact,25.0,25.0,90700.0,1008.0,2100.0,0.0,480,6300,June-21; July-21; August-21; September-21; October-21; November-21,9/8/2021,0.0,2100.0,2100.0,0.0,4200.0
95,162591,2134,Match,Non_Exact,25.0,25.0,100500.0,4006.0,1428.0,4000.0,2564,5428,0,0,1130.57,0.0,0.0,0.0,1130.57
96,162592,2126,Match,Exact,25.0,25.0,140400.0,5009.0,3500.0,0.0,2000,3500,February-21; March-21; April-21; May-21; June-21,9/8/2021,0.0,4650.0,8450.0,0.0,13100.0
97,162596,2136,Match,Exact,25.0,25.0,140107.0,2001.0,5400.0,0.0,1186,5400,July-20; March-21; May-21; June-21; August-21; September-21; October-21,7/28/2021,0.0,5400.0,7200.0,0.0,15000.0
98,162598,2130,Match,Non_Exact,25.0,25.0,81400.0,3008.0,9000.0,0.0,61614,9000,April-20; May-20; June-20; July-20; August-20; September-20; August-21; September-21; October-21,0,0.0,14200.0,0.0,0.0,14200.0
99,162600,2124,Match,Non_Exact,25.0,25.0,603.0,1000.0,9855.0,0.0,4163,15678.3,March-21; April-21; May-21; June-21; July-21; August-21; September-21; October-21; November-21,8/16/2021,0.0,4785.0,9855.0,0.0,14640.0
100,162601,2136,Match,Non_Exact,25.0,25.0,81900.0,2004.0,9478.0,0.0,952,9478,March-20; April-20; May-20; June-20; July-20; August-20; September-20; October-20; November-20; December-20; January-21; February-21; March-21; April-21; May-21; June-21; July-21; August-21; September-21; October-21; November-21,8/30/2021,0.0,2655.0,10363.0,0.0,15000.0
101,162602,2125,No_Match,0,0.0,0.0,91100.0,3004.0,1700.0,0.0,3000,1700,April-21; May-21; June-21; July-21; August-21; September-21,0,0.0,5400.0,3500.0,0.0,8900.0
102,162603,2124,Match,Non_Exact,25.0,25.0,30400.0,1004.0,1300.0,0.0,2523,1300,August-20; September-20; October-20; November-20; December-20; January-21; February-21; March-21; April-21; May-21; June-21; July-21,8/2/2021,0.0,0.0,1.0,0.0,1.0
103,162606,2124,Match,Exact,25.0,25.0,100500.0,3000.0,4996.0,2634.21,1272,7630.21,March-20; April-20; May-20; June-20; July-20; August-20; September-20; October-20; November-20; December-20; January-21; February-21; March-21; April-21; May-21; June-21; July-21; August-21; September-21; October-21; November-21,8/11/2021,1500.0,2163.0,5719.0,0.0,9382.0
104,162607,2135,Match,Non_Exact,25.0,25.0,80401.0,2008.0,1140.0,365.93,540,1505.93,July-21; August-21; September-21; October-21; November-21,0,155.06,2235.0,1490.0,0.0,3880.06
105,162609,2135,Match,Non_Exact,25.0,25.0,61201.0,1007.0,6800.0,2924.51,0,9724.51,June-21; July-21; August-21; September-21,7/29/2021,1400.0,10000.0,3400.0,0.0,14800.0
106,162610,2124,Match,Non_Exact,25.0,25.0,110105.0,1015.0,1692.0,3256.0,652,4948,July-20; August-20; September-20; October-20; November-20; December-20; January-21; February-21; March-21; April-21; May-21; June-21; July-21; August-21; September-21; October-21; November-21; December-21,9/9/2021,0.0,0.0,864.0,0.0,864.0
107,162611,2118,Match,Non_Exact,25.0,25.0,81001.0,4003.0,3855.0,4582.56,3600,8437.56,May-21; June-21; July-21,8/25/2021,0.0,10415.0,0.0,0.0,10415.0
108,162614,2119,Match,Non_Exact,25.0,25.0,120201.0,2015.0,9075.0,0.0,560,9075,September-20; October-20; November-20; December-20; January-21; February-21; March-21; May-21; June-21,8/10/2021,0.0,0.0,10476.0,0.0,10476.0
